1309 1.002 78401.073
3089 2.000 92665.923
4841 3.001 96788.286
6174 4.000 92605.138
7505 5.000 90052.472
9375 6.000 93749.203
10662 7.000 91388.506
11716 8.000 87865.607
13213 9.000 88083.124
14806 10.000 88834.250
16260 11.000 88687.539
17672 12.001 88356.260
18887 13.000 87167.738
19385 14.000 83078.476
20211 15.001 80839.511
21059 16.000 78968.901
22498 17.000 79404.388
23639 18.001 78792.394
24342 19.009 76832.869
25178 20.000 75532.735
25800 21.001 73709.252
26784 22.000 73046.419
27920 23.000 72833.370
29397 24.000 73492.172
29944 25.001 71864.145
30539 26.001 70472.883
31721 27.003 70484.365
32699 28.008 70049.372
34039 29.000 70425.505
35234 30.002 70462.699
36868 31.000 71356.710
38442 32.000 72078.200
39862 33.000 72475.900
41380 34.000 73023.111
43040 35.000 73782.406
44774 36.000 74623.024
46332 37.000 75132.370
48010 38.000 75804.673
49577 39.000 76271.520
51018 40.000 76526.805
52745 41.000 77187.498
54039 42.001 77197.232
55059 43.002 76823.056
55767 44.000 76045.401
57560 45.000 76746.358
59342 46.000 77402.010
61221 47.000 78154.465
62930 48.000 78662.425
64100 49.000 78489.532
65696 50.000 78835.137
67521 51.000 79435.717
69263 52.000 79918.270
70926 53.000 80293.109
72495 54.000 80549.821
74307 55.000 81061.656
76174 56.000 81614.932
77899 57.000 81998.326
79804 58.000 82555.659
81328 59.000 82705.929
82682 60.000 82681.469
