83 1.011 4927.351
158 2.011 4714.668
228 3.022 4527.067
309 4.011 4622.638
394 5.011 4717.941
473 6.011 4721.725
552 7.010 4724.357
639 8.010 4786.250
718 9.010 4781.134
792 10.010 4747.072
852 11.033 4633.559
912 12.010 4556.041
993 13.010 4579.416
1070 14.010 4582.323
1140 15.088 4533.400
1203 16.010 4508.351
1281 17.010 4518.449
1360 18.010 4530.759
1446 19.010 4563.892
1517 20.021 4546.165
1580 21.021 4509.726
1652 22.010 4503.388
1694 23.010 4417.209
1765 24.010 4410.657
1832 25.010 4395.041
1911 26.010 4408.310
1995 27.010 4431.706
2071 28.010 4436.287
2153 29.010 4452.968
2218 30.010 4434.548
2305 31.010 4459.900
2388 32.010 4476.152
2466 33.021 4480.827
2541 34.010 4482.854
2620 35.010 4490.205
2683 36.010 4470.486
2754 37.009 4464.803
2833 38.009 4472.047
2914 39.010 4481.985
2991 40.009 4485.449
3070 41.009 4491.645
3154 42.009 4504.702
3230 43.009 4505.990
3312 44.009 4515.401
3378 45.009 4503.075
3466 46.009 4519.955
3547 47.009 4527.191
3625 48.009 4530.378
3698 49.009 4527.312
3775 50.059 4524.703
3850 51.009 4528.611
3928 52.009 4531.525
4008 53.009 4536.585
4096 54.020 4549.424
4160 55.009 4537.449
4228 56.009 4529.277
4310 57.009 4536.141
4394 58.009 4544.829
4451 59.009 4525.769
4532 60.009 4531.342
