90 1.000 5398.548
162 2.000 4859.565
240 3.000 4799.742
321 4.000 4814.730
409 5.000 4907.945
486 6.000 4859.923
569 7.011 4869.444
652 8.011 4883.151
735 9.011 4893.954
814 10.023 4872.943
892 11.011 4860.599
979 12.011 4890.510
1061 13.011 4892.820
1140 14.011 4881.924
1217 15.023 4860.544
1305 16.011 4890.452
1386 17.022 4885.480
1465 18.011 4880.425
1547 19.011 4882.515
1632 20.011 4893.386
1708 21.011 4877.530
1791 22.011 4882.193
1875 23.011 4889.039
1957 24.011 4890.338
2037 25.011 4886.713
2113 26.011 4874.172
2203 27.011 4893.618
2280 28.033 4880.031
2355 29.010 4870.678
2434 30.010 4866.320
2516 31.010 4868.060
2595 32.010 4864.044
2675 33.010 4862.108
2763 34.010 4874.400
2834 35.010 4856.874
2913 36.010 4853.624
2996 37.066 4849.772
3066 38.010 4839.753
3134 39.010 4820.300
3213 40.010 4818.296
3291 41.010 4814.931
3377 42.010 4823.144
3456 43.010 4821.218
3534 44.010 4818.011
3618 45.010 4822.945
3701 46.010 4826.362
3783 47.010 4828.352
3860 48.010 4824.024
3947 49.010 4832.105
4026 50.010 4830.266
4104 51.010 4827.318
4184 52.016 4826.194
4259 53.010 4820.621
4338 54.010 4819.136
4414 55.010 4814.436
4493 56.010 4813.108
4577 57.010 4817.085
4651 58.009 4810.597
4733 59.009 4812.456
4815 60.009 4814.244
